id,name,location
1,Hotel Grand Palace,Chennai
2,Sea Breeze Resort,Goa
3,Mountain View Inn,Munnar
4,Sunset Bay Hotel,Pondicherry
5,Blue Lagoon Resort,Ooty
6,Cityscape Hotel,Hyderabad
7,The Royal Orchid,Delhi
8,Tranquil Stay,Bangalore
9,Emerald Leaf Resort,Kodaikanal
10,Hilltop Retreat,Mumbai
11,Ocean Pearl Hotel,Jaipur
12,Forest Whisper Inn,Kolkata
13,Crystal Horizon Resort,Shimla
14,Golden Nest Suites,Agra
15,Paradise Point Hotel,Ahmedabad
16,The Urban Haven,Coimbatore
17,Starlight Inn,Mysore
18,Whispering Pines Lodge,Darjeeling
19,Cloud Nine Hotel,Manali
20,Lakeside Serenity Resort,Trivandrum
